time,TP9,AF7,AF8,TP10
1691552229162,-41.9921875,-25.87890625,-43.45703125,-32.71484375
1691552229208.875,-41.9921875,-45.8984375,-35.15625,-40.52734375
1691552229255.75,-33.203125,-30.2734375,-35.15625,-29.78515625
1691552229302.625,-37.109375,-34.1796875,-25.87890625,-46.38671875
1691552229349.5,-39.0625,-25.87890625,-27.83203125,-28.3203125
1691552229396.375,-52.24609375,-36.1328125,-36.62109375,-41.9921875
1691552229443.25,-35.64453125,-28.3203125,-27.34375,-36.1328125
1691552229490.125,-44.43359375,-28.80859375,-34.1796875,-27.34375
1691552229537,-37.109375,-42.96875,-32.71484375,-41.015625
1691552229583.875,-41.9921875,-29.296875,-34.66796875,-49.31640625
1691552229630.75,-55.6640625,-30.2734375,-41.50390625,-45.8984375
1691552229677.625,-39.55078125,-19.53125,-24.90234375,-28.80859375
1691552229724.5,-41.50390625,-34.66796875,-22.94921875,-37.109375
1691552229771.375,-23.4375,-29.78515625,-26.3671875,-41.50390625
1691552229818.25,-35.15625,-31.73828125,-38.0859375,-41.015625
1691552229865.125,-29.78515625,-35.64453125,-21.97265625,-27.34375
1691552229912,-71.77734375,-35.15625,-12.6953125,-39.55078125
1691552229958.875,-33.203125,-35.64453125,-26.85546875,-35.15625
1691552230005.75,-27.34375,-39.0625,-31.25,-36.1328125
1691552230052.625,-52.734375,-25.390625,-31.73828125,-59.5703125
1691552230099.5,-54.19921875,-42.96875,-34.1796875,-40.0390625
1691552230146.375,-32.71484375,-49.31640625,-20.99609375,-14.6484375
1691552230193.25,-35.64453125,-30.2734375,-32.2265625,-41.50390625
1691552230240.125,-48.828125,-42.48046875,-27.34375,-38.57421875
1691552230287,-27.83203125,-29.78515625,-35.64453125,-43.45703125
1691552230333.875,-51.26953125,-34.66796875,-20.01953125,-43.45703125
1691552230380.75,-34.66796875,-39.0625,-31.73828125,-36.62109375
1691552230427.625,-42.48046875,-37.109375,-27.83203125,-39.0625
1691552230474.5,-40.52734375,-43.9453125,-35.15625,-33.203125
1691552230521.375,-48.33984375,-36.1328125,-24.4140625,-30.2734375
1691552230568.25,-34.66796875,-24.4140625,-29.296875,-35.64453125
1691552230615.125,-36.1328125,-37.59765625,-31.73828125,-38.57421875
1691552230662,-33.203125,-29.296875,-23.92578125,-27.83203125
1691552230708.875,-30.2734375,-22.94921875,-28.3203125,-29.296875
1691552230755.75,-36.1328125,-27.83203125,-36.1328125,-42.48046875
1691552230802.625,-36.1328125,-33.203125,-28.3203125,-36.62109375
1691552230849.5,-39.55078125,-21.97265625,-37.59765625,-35.64453125
1691552230896.375,-39.0625,-39.55078125,-32.71484375,-44.43359375
1691552230943.25,-33.203125,-24.4140625,-21.484375,-35.64453125
1691552230990.125,-48.828125,-28.80859375,-26.3671875,-31.25
